movie_title,recommended_titles
Ariel,"South Central, Boy A, Johnny Handsome, The Domino Principle, Blow"
Shadows in Paradise,"In Paris, All in, Crazy in Alabama, A Monkey in Winter, Summer in Berlin"
Four Rooms,"99, The Red Inn, Quick Change, Love Is Colder Than Death, Knockin' on Heaven's Door"
Judgment Night,"Night Train, Black Rain, 3:15, Pusher III: I'm the Angel of Death, Transporter 2"
Star Wars,"Star Wars: Episode I - The Phantom Menace, Star Wars: Episode III - Revenge of the Sith, Star Wars: Episode II - Attack of the Clones, Star Trek, The Empire Strikes Back"
Finding Nemo,"The Rugrats Movie, Babar: King of the Elephants, Laura's Star, Rudolph, the Red-Nosed Reindeer, Partly Cloudy"
Forrest Gump,"Edge of Seventeen, Commandments, The Alibi, He Was a Quiet Man, Mifune"
American Beauty,"American Flyers, American Violet, American Son, American History X, American Gun"
Citizen Kane,"One Deadly Summer, Teorema, Brick, Rebecca, Night Train"
Dancer in the Dark,"The Visitor, The Dark Corner, The Harder They Come, Lights in the Dusk, Murder in the First"
The Dark,"The Entity, The Woods, The Hound of the Baskervilles, The Appeared, The Psychic"
The Fifth Element,"The Shadow, Masters of the Universe, The Covenant, Underworld: Rise of the Lycans, The Island"
Metropolis,"Metropolis, Threads, The World, the Flesh and the Devil, The Aerial, Fahrenheit 451"
My Life Without Me,"My Brilliant Career, Remember Me, My Blueberry Nights, Love Life, All Over Me"
The Endless Summer,"The Endless Summer 2, The End of the Line, End of the Century: The Story of The Ramones, The Heart of the Game, The Year of the Yao"
Pirates of the Caribbean: The Curse of the Black Pearl,"Pirates of the Caribbean: On Stranger Tides, The Lord of the Rings: The Return of the King, Pirates of the Caribbean: Dead Man's Chest, The Lord of the Rings: The Fellowship of the Ring, The Lord of the Rings: The Two Towers"
Kill Bill: Vol. 1,"Kill Bill: Vol. 2, Faster, Pussycat! Kill! Kill!, Crying Freeman, The Killer Elite, Half Past Dead 2"
Jarhead,"Full Metal Jacket, Innocent Voices, Hart's War, A Bright Shining Lie, Dunkirk"
Walk on Water,"On Broadway, Head On, Troubled Water, On Golden Pond, Running on Empty"
9 Songs,"Love Songs, Pure Country, The Guitar, Pennies from Heaven, Raise Your Voice"
Apocalypse Now,"The Four Horsemen of the Apocalypse, The Green Berets, A Bright Shining Lie, The War Is Over, Faith of My Fathers"
Magnetic Rose,"The Cathedral, A Detective Story, Program, Kid's Story, Royal Space Force - The Wings Of Honneamise"
Unforgiven,"Beyond the Law, Rio Bravo, Open Range, Finders Killers, A Man Called Blade"
The Simpsons Movie,"Stitch! The Movie, The SpongeBob SquarePants Movie, The Bugs Bunny/Road Runner Movie, The Prince and the Pauper, Barbie as The Princess & the Pauper"
Eternal Sunshine of the Spotless Mind,"On the Beach, The Face of Another, The World, the Flesh and the Devil, The Fountain, Close Encounters of the Third Kind"
Amores perros,"Red, Murk, Where Danger Lives, Wake in Fright, Calling Dr. Gillespie"
Pirates of the Caribbean: Dead Man's Chest,"Pirates of the Caribbean: The Curse of the Black Pearl, Pirates of the Caribbean: On Stranger Tides, Pirates of the Caribbean: At World's End, The Lord of the Rings: The Fellowship of the Ring, The Lord of the Rings: The Return of the King"
A History of Violence,"Touch of Evil, Kiss of Death, Nick of Time, City of Industry, Shadow of a Doubt"
2001: A Space Odyssey,"2001: A Space Travesty, 20th Century Boys - Chapter 2: The Last Hope, 20th Century Boys - Chapter 1: Beginning of the End, Space Mutiny, Beneath the Planet of the Apes"
Twelve Monkeys,"Cube Zero, The Fourth Kind, The X Files, The I Inside, Cargo"
Talk to Her,"To Gillian on Her 37th Birthday, Smooth Talk, According to Greta, Road to Victory, Away from Her"
8 Mile,"Twelve Mile Road, Moonlight Mile, Hustle & Flow, You Got Served, I Accuse My Parents"
Absolute Power,"A Perfect World, Panic in the Streets, City of Industry, The Deal, Le Cercle Rouge"
