movie_title,recommended_titles
Ariel,"Taxi Driver, Dancer in the Dark, A History of Violence, Absolute Power, Paradise Now"
Shadows in Paradise,"Paradise Now, All About My Mother, Finding Nemo, Billy Elliot, Three Colors: White"
Four Rooms,"Shadows in Paradise, Lock, Stock and Two Smoking Barrels, The Big Lebowski, Beverly Hills Cop, Beverly Hills Cop II"
Judgment Night,"Four Rooms, Miami Vice, Scarface, Kill Bill: Vol. 1, Snatch"
Star Wars,"Judgment Night, Tron, Armageddon, Predator, The Fifth Element"
Finding Nemo,"Star Wars, The Simpsons Movie, Spirited Away, Magnetic Rose, Nausicaä of the Valley of the Wind"
Forrest Gump,"Finding Nemo, Italian for Beginners, Mifune, Groundhog Day, Ariel"
American Beauty,"American History X, Finding Nemo, Jarhead, Talk to Her, Walk the Line"
Citizen Kane,"American Beauty, Three Colors: Blue, Three Colors: White, Three Colors: Red, Donnie Darko"
Dancer in the Dark,"The Dark, American Beauty, Taxi Driver, 9 Songs, A History of Violence"
The Dark,"Citizen Kane, Dancer in the Dark, Memento, Twelve Monkeys, Anatomy of a Murder"
The Fifth Element,"The Dark, Armageddon, Predator, Judgment Night, War of the Worlds"
Metropolis,"The Fifth Element, Eternal Sunshine of the Spotless Mind, Blade Runner, Magnetic Rose, Brazil"
My Life Without Me,"The Fifth Element, Twelve Monkeys, Mars Attacks!, Hero, Raiders of the Lost Ark"
The Endless Summer,"Metropolis, Beverly Hills Cop, Land Without Bread, Primary, The Rolling Stones: Gimme Shelter"
Pirates of the Caribbean: The Curse of the Black Pearl,"My Life Without Me, Amores perros, The Lord of the Rings: The Fellowship of the Ring, The Lord of the Rings: The Two Towers, The Lord of the Rings: The Return of the King"
Kill Bill: Vol. 1,"Pirates of the Caribbean: The Curse of the Black Pearl, Four Rooms, Beverly Hills Cop, Beverly Hills Cop II, Miami Vice"
Jarhead,"Kill Bill: Vol. 1, Apocalypse Now, Forrest Gump, Walk on Water, 8 Mile"
Walk on Water,"Walk the Line, Star Wars, Pirates of the Caribbean: The Curse of the Black Pearl, Twelve Monkeys, Brazil"
9 Songs,"Walk on Water, Walk the Line, Dirty Dancing, Metropolis, Talk to Her"
Apocalypse Now,"Kill Bill: Vol. 1, 9 Songs, Forrest Gump, Jarhead, 8 Mile"
Magnetic Rose,"Apocalypse Now, The Fifth Element, Brazil, Judgment Night, Eternal Sunshine of the Spotless Mind"
Unforgiven,"Magnetic Rose, Ariel, Shadows in Paradise, Four Rooms, Judgment Night"
The Simpsons Movie,"Unforgiven, Star Wars, Charlie and the Chocolate Factory, Spirited Away, Back to the Future"
Eternal Sunshine of the Spotless Mind,"The Simpsons Movie, The Fifth Element, Blade Runner, Metropolis, Talk to Her"
Amores perros,"Eternal Sunshine of the Spotless Mind, Open Water, A History of Violence, Absolute Power, Paradise Now"
Pirates of the Caribbean: Dead Man's Chest,"My Life Without Me, Amores perros, The Lord of the Rings: The Fellowship of the Ring, The Lord of the Rings: The Two Towers, The Lord of the Rings: The Return of the King"
A History of Violence,"Amores perros, 8 Mile, Absolute Power, Leon: The Professional, American History X"
2001: A Space Odyssey,"A History of Violence, Judgment Night, Twelve Monkeys, War of the Worlds, Tron"
Twelve Monkeys,"2001: A Space Odyssey, A History of Violence, War of the Worlds, Blade Runner, Memento"
Talk to Her,"Metropolis, Twelve Monkeys, Before Sunrise, Before Sunset, The Elementary Particles"
8 Mile,"Forrest Gump, Jarhead, Talk to Her, Million Dollar Baby, American History X"
Absolute Power,"Pirates of the Caribbean: Dead Man's Chest, 8 Mile, Paradise Now, Leon: The Professional, Anatomy of a Murder"
Paradise Now,"Shadows in Paradise, Pirates of the Caribbean: Dead Man's Chest, 8 Mile, Absolute Power, Leon: The Professional"
Brazil,"Paradise Now, Mars Attacks!, Back to the Future, The Fifth Element, Apocalypse Now"
Walk the Line,"Jarhead, Brazil, Dirty Dancing, Walk on Water, The Fifth Element"
Million Dollar Baby,"Forrest Gump, Jarhead, Talk to Her, Walk the Line, American History X"
Billy Elliot,"Million Dollar Baby, Ariel, All About My Mother, Finding Nemo, Citizen Kane"
American History X,"American Beauty, Star Wars, Kill Bill: Vol. 1, Talk to Her, Walk the Line"
War of the Worlds,"American History X, Armageddon, Predator, The Dark, Judgment Night"
Mars Attacks!,"War of the Worlds, Paradise Now, Back to the Future, The Dark, The Fifth Element"
Before Sunrise,"Metropolis, Twelve Monkeys, Mars Attacks!, Before Sunset, The Elementary Particles"
Memento,"Before Sunrise, Dancer in the Dark, 2001: A Space Odyssey, Anatomy of a Murder, American Beauty"
Blade Runner,"Memento, The Fifth Element, The Simpsons Movie, 2001: A Space Odyssey, American History X"
Hero,"Blade Runner, Gladiator, Raiders of the Lost Ark, Indiana Jones and the Temple of Doom, Indiana Jones and the Last Crusade"
Before Sunset,"Metropolis, Twelve Monkeys, Mars Attacks!, Hero, The Elementary Particles"
Nausicaä of the Valley of the Wind,"Before Sunset, Princess Mononoke, The Lord of the Rings, Spirited Away, The Endless Summer"
Miami Vice,"Nausicaä of the Valley of the Wind, Four Rooms, Scarface, Pirates of the Caribbean: The Curse of the Black Pearl, Raiders of the Lost Ark"
Open Water,"The Simpsons Movie, Nausicaä of the Valley of the Wind, Walk on Water, Amores perros, Talk to Her"
Raiders of the Lost Ark,"Open Water, Indiana Jones and the Temple of Doom, Indiana Jones and the Last Crusade, The Endless Summer, Amores perros"
The Elementary Particles,"Metropolis, Twelve Monkeys, Mars Attacks!, Hero, Raiders of the Lost Ark"
Indiana Jones and the Temple of Doom,"Miami Vice, Raiders of the Lost Ark, Dirty Dancing, My Life Without Me, Eternal Sunshine of the Spotless Mind"
Dirty Dancing,"Walk on Water, Brazil, Indiana Jones and the Temple of Doom, Metropolis, Twelve Monkeys"
Indiana Jones and the Last Crusade,"Miami Vice, Raiders of the Lost Ark, Dirty Dancing, My Life Without Me, Eternal Sunshine of the Spotless Mind"
Beverly Hills Cop,"Beverly Hills Cop II, Dirty Dancing, Armageddon, Ariel, The Endless Summer"
Land Without Bread,"Metropolis, Beverly Hills Cop, Megacities, Primary, The Rolling Stones: Gimme Shelter"
Megacities,"My Life Without Me, Beverly Hills Cop, Land Without Bread, Primary, The Rolling Stones: Gimme Shelter"
Anatomy of a Murder,"Megacities, Pirates of the Caribbean: Dead Man's Chest, 8 Mile, Absolute Power, Leon: The Professional"
Armageddon,"Anatomy of a Murder, Predator, The Dark, Judgment Night, American History X"
Beverly Hills Cop II,"Beverly Hills Cop, Dirty Dancing, Armageddon, Ariel, The Endless Summer"
Tron,"Judgment Night, Beverly Hills Cop II, Anatomy of a Murder, Predator, The Dark"
Gladiator,"Tron, Blade Runner, Open Water, The Elementary Particles, Dirty Dancing"
All About My Mother,"Ariel, Gladiator, Finding Nemo, Million Dollar Baby, Three Colors: White"
"Lock, Stock and Two Smoking Barrels","Ariel, Gladiator, Pretty Woman, Dirty Dancing, Anatomy of a Murder"
Leon: The Professional,"Pirates of the Caribbean: Dead Man's Chest, 8 Mile, Absolute Power, Lock, Stock and Two Smoking Barrels, Megacities"
Open Hearts,"The Fifth Element, 2001: A Space Odyssey, War of the Worlds, Blade Runner, Raiders of the Lost Ark"
