collection_id,name
10,Star Wars Collection
137697,Finding Nemo Collection
498,Heart of Gold Collection
252313,The Endless Summer Collection
295,Pirates of the Caribbean Collection
2883,Kill Bill Collection
285564,Jarhead Collection
139450,Memories Collection
4438,The Space Odyssey Series
123800,Before... Collection
422837,Blade Runner Collection
86113,Open Water Collection
84,Indiana Jones Collection
86058,Dirty Dancing Collection
85861,Beverly Hills Cop Collection
63043,TRON Collection
264,Back to the Future Collection
399,Predator Collection
131,Three Colors Collection
119,The Lord of the Rings Collection
141290,The Lord of the Rings Animated Collection
221539,Dracula (Universal Series)
178106,Darko Collection
290973,"Crouching Tiger, Hidden Dragon Collection"
185682,The Adventures of Antoine Doinel
93295,48 Hrs. Collection
151,Star Trek: The Original Series Collection
263,The Dark Knight Collection
304,Ocean s Collection
41649,The Party Collection
1565,28 Days/Weeks Later Collection
656,Saw Collection
135179,Sin City Collection
115570,Star Trek: The Next Generation Collection
528,The Terminator Collection
457305,Man of Marble/Iron Collection
218406,Frankenstein (Universal Series)
230,The Godfather Collection
135495,King Kong (1933 series)
95891,In China They Eat Dogs Collection
645,James Bond Collection
120794,Batman Collection
9743,The Hannibal Lecter Anthology
2326,Underworld Collection
256729,War Trilogy
124949,Almighty Collection
328,Jurassic Park Collection
237445,Inspector Gadget Collection
344936,Unna Trilogie
8091,Alien Collection
8581,A Nightmare on Elm Street Collection
48317,The Man With No Name Collection
115762,AVP Collection
86336,Basic Instinct Collection
420,The Chronicles of Narnia Collection
8354,Ice Age Collection
432,Cube Collection
456,Sissi Collection
495,Shaft Collection
7505,Elements Trilogy
112636,The Blues Brothers Collection
300546,Once were Warriors Collection
529,Wallace & Gromit Collection
119674,Psycho Collection
372257,The Poseidon Adventure Collection
1952,USA: Land of Opportunities Collection
556,Spider-Man Collection
437628,Constantine Collection
1570,Die Hard Collection
10522,Starship Troopers Collection
1733,The Mummy Collection
14563,The Ring Collection
2366,The Jaws Collection
9485,The Fast and the Furious Collection
137696,"Monsters, Inc. Collection"
64748,Silent Hill Collection
115776,Robert Langdon Collection
304378,Independence Day Collection
2344,The Matrix Collection
86055,Men In Black Collection
10453,Poltergeist Collection
33059,Wild Things Collection
2980,Ghostbusters Collection
86083,Grease Collection
424202,Trainspotting Collection
217704,The Vampire Chronicles
8936,Bridget Jones Collection
140760,Final Fantasy Collection
295862,The BRD Collection
4563,The Vengeance Collection
1241,Harry Potter Collection
404148,Olympia
51509,Meet the Parents Collection
10924,From Dusk Till Dawn Collection
55427,Fantasia Collection
1960,Evil Dead Collection
9888,Home Alone Collection
10919,The Omen Collection
52789,Cruel Intentions Collection
264338,Rosemary s Baby Collection
2150,Shrek Collection
86027,Aladdin Collection
91663,Airplane Collection
1006,Austin Powers Collection
359005,The Jake Gittes Collection
