job_id,job
0,Screenplay
1,Director
2,Director of Photography
3,Editor
4,Production Design
5,Costume Design
6,Compositors
7,Producer
8,Camera Operator
9,Art Direction
10,Still Photographer
11,Script Supervisor
12,Original Music Composer
13,Sound Designer
14,Executive Producer
15,Casting
16,Set Decoration
17,Writer
18,Foley
19,Co-Producer
20,Music Supervisor
21,Art Department Coordinator
22,Construction Coordinator
23,Construction Foreman
24,Lead Painter
25,Painter
26,Standby Painter
27,First Assistant Camera
28,Key Grip
29,Grip
30,Steadicam Operator
31,Costume Supervisor
32,Hairstylist
33,Key Hair Stylist
34,Makeup Artist
35,Carpenter
36,Choreographer
37,Craft Service
38,Driver
39,Post Production Assistant
40,Property Master
41,Security
42,Set Medic
43,Set Production Assistant
44,Special Effects Coordinator
45,Stand In
46,Transportation Captain
47,Transportation Coordinator
48,Unit Production Manager
49,Unit Publicist
50,First Assistant Director
51,Color Timer
52,First Assistant Editor
53,Best Boy Electric
54,Electrician
55,Gaffer
56,Casting Associate
57,Location Manager
58,Production Accountant
59,Production Coordinator
60,Production Manager
61,Production Supervisor
62,Boom Operator
63,First Assistant Sound Editor
64,Music Editor
65,Production Sound Mixer
66,Sound Editor
67,Sound Effects Editor
68,Supervising Sound Editor
69,Special Sound Effects
70,Studio Teachers
71,Creative Consultant
72,Dolby Consultant
73,Associate Producer
74,Story
75,Animation
76,Visual Effects
77,Original Story
78,Supervising Film Editor
79,Co-Director
80,Sound Re-Recording Mixer
81,Visual Development
82,In Memory Of
83,CG Painter
84,Sculptor
85,CG Supervisor
86,Animation Director
87,Fix Animator
88,Animation Manager
89,Editorial Production Assistant
90,Second Film Editor
91,Camera Supervisor
92,Post Production Supervisor
93,Projection
94,Sound Design Assistant
95,Storyboard
96,Supervising Animator
97,Temp Music Editor
98,Foley Editor
99,Orchestrator
100,Camera Technician
101,Production Office Assistant
102,ADR Editor
103,Photoscience Manager
104,Editorial Coordinator
105,Character Designer
106,Supervising Technical Director
107,Novel
108,Assistant Art Director
109,Greensman
110,Leadman
111,Set Designer
112,ADR & Dubbing
113,Dialogue Editor
114,Visual Effects Art Director
115,Visual Effects Producer
116,Visual Effects Editor
117,Visual Effects Supervisor
118,Stunt Coordinator
119,Second Unit Cinematographer
120,Set Costumer
121,Dialect Coach
122,Special Effects
123,Additional Photography
124,Hair Designer
125,Special Effects Supervisor
126,Assistant Editor
127,Thanks
128,Location Scout
129,Production Illustrator
130,Loader
131,Assistant Costume Designer
132,Makeup Designer
133,Seamstress
134,Set Dressing Artist
135,Executive Music Producer
136,Picture Car Coordinator
137,Stunts
138,Transportation Co-Captain
139,Utility Stunts
140,Lighting Technician
141,Rigging Grip
142,Executive In Charge Of Production
143,Assistant Sound Editor
144,Sound Mixer
145,Visual Effects Coordinator
146,Vocal Coach
147,Author
148,Rigging Gaffer
149,Researcher
150,Assistant Director
151,ADR Supervisor
152,Additional Camera
153,Production Controller
154,Propmaker
155,Scoring Mixer
156,24 Frame Playback
157,3D Artist
158,Digital Compositors
159,Makeup Department Head
160,Second Assistant Director
161,Editorial Manager
162,Line Producer
163,Co-Executive Producer
164,Sound
165,Cinematography
166,Additional Editing
167,Legal Services
168,Finance
169,Sound Director
170,Supervising Art Director
171,Underwater Camera
172,Digital Intermediate
173,Second Unit
174,Second Unit Director of Photography
175,Creature Design
176,Sound Engineer
177,Conceptual Design
178,Sound Recordist
179,Animation Supervisor
180,Armorer
181,Digital Effects Supervisor
182,Sequence Supervisor
183,3D Coordinator
184,Video Assist Operator
185,Third Assistant Director
186,Conductor
187,Production Artist
188,Screenstory
189,Aerial Director of Photography
190,Set Dresser
191,Wigmaker
192,Additional Music
193,Scenic Artist
194,Software Engineer
195,3D Supervisor
196,Pyrotechnic Supervisor
197,Editorial Services
198,Assistant Property Master
199,Set Decorating Coordinator
200,Title Designer
201,Dolly Grip
202,Ager/Dyer
203,Costume Illustrator
204,Key Makeup Artist
205,Makeup Supervisor
206,Tailor
