collection_id,id
10,11
137697,12
498,16
252313,21
295,22
2883,24
285564,25
139450,30
295,58
4438,62
123800,76
422837,78
123800,80
86113,83
84,85
84,87
86058,88
84,89
85861,90
85861,96
63043,97
264,105
399,106
131,108
131,109
131,110
119,120
119,121
119,122
141290,123
221539,138
178106,141
498,145
290973,146
185682,147
93295,150
151,152
151,154
263,155
151,157
304,161
304,163
264,165
41649,166
151,168
399,169
1565,170
41649,171
151,172
151,174
656,176
135179,187
135179,189
115570,193
264,196
115570,199
115570,200
115570,201
656,214
656,215
84,217
528,218
457305,224
457305,225
218406,229
230,238
230,240
230,242
135495,244
95891,250
645,253
185682,255
185682,256
185682,258
185682,259
120794,268
263,272
9743,274
2326,277
528,280
295,285
528,296
304,298
85861,306
256729,307
124949,310
328,329
328,330
328,331
237445,332
344936,344
8091,348
120794,364
8581,377
48317,391
2883,393
115762,395
86336,402
420,411
120794,414
120794,415
8354,425
48317,429
432,431
432,437
432,438
115762,440
498,452
456,457
456,458
456,459
495,479
495,482
495,493
495,494
7505,513
112636,525
300546,527
529,530
529,531
529,532
529,533
528,534
119674,539
372257,551
1952,553
556,557
556,558
556,559
437628,561
1570,562
10522,563
1733,564
14563,565
2366,578
2366,579
2366,580
9485,584
137696,585
64748,588
115776,591
304378,602
2344,603
2344,604
2344,605
86055,607
86055,608
10453,609
33059,617
2980,620
86083,621
424202,627
217704,628
8936,634
645,646
140760,647
645,657
645,658
645,660
295862,661
656,663
645,667
645,668
4563,670
1241,671
1241,672
1241,673
1241,674
1241,675
404148,677
8091,679
645,681
645,682
404148,685
645,691
51509,693
645,698
645,699
645,700
645,707
645,708
645,709
645,710
645,714
10924,755
55427,756
1960,764
1960,765
1960,766
1241,767
9888,771
9888,772
10919,794
52789,796
264338,805
2150,808
2150,809
2150,810
86027,812
91663,813
1006,816
1006,817
1006,818
359005,829
2326,834
124950,838
287016,843
287016,844
19387,846
201873,850
43072,854
151263,860
10194,862
10194,863
1709,871
351684,888
351684,889
158391,896
158391,897
87118,920
261590,923
89151,927
89151,928
937,936
48317,938
945,941
945,942
945,943
945,944
91361,948
8354,950
397444,951
14740,953
87359,954
87359,955
87359,956
110021,966
10456,984
387219,990
262011,993
155474,1051
479888,1091
115838,1103
1575,1246
9743,1248
90306,1250
261382,1251
124881,1266
103372,1268
68589,1269
125570,1271
103372,1281
2248,1283
2248,1284
2248,1285
86105,1359
141290,1361
141290,1362
1575,1366
1575,1367
5039,1368
5039,1369
5039,1370
1575,1371
1575,1374
1575,1375
8385,1379
150156,1406
9649,1428
8537,1452
476066,1483
17235,1487
93220,1493
1582,1497
1582,1498
1582,1499
109076,1547
239766,1555
1565,1562
1570,1571
1570,1572
1570,1573
17255,1576
17255,1577
478442,1583
430186,1588
85943,1593
937,1594
51509,1597
1617,1615
1617,1616
390096,1620
9328,1634
43064,1637
43064,1639
328073,1642
91746,1648
91746,1649
265709,1652
124492,1654
1657,1656
192492,1669
374509,1678
374509,1679
374509,1680
374509,1682
1709,1685
1709,1687
1709,1688
86578,1690
86578,1691
98036,1694
105625,1696
8412,1698
1709,1705
131292,1726
1733,1734
1733,1735
131295,1771
161314,1803
259398,1811
239766,1826
138908,1845
8650,1858
295,1865
103001,1870
103001,1871
103001,1875
133830,1884
8580,1885
10,1891
10,1892
10,1893
10,1894
10,1895
8537,1924
125574,1930
160727,1931
64751,1948
1952,1951
52749,1954
1974,1970
1974,1975
1974,1977
9744,1979
278467,1987
339577,1991
339577,1992
2467,1995
2467,1996
103573,2005
412680,2019
123251,2038
142680,2043
52984,2059
203910,2061
103577,2069
453993,2080
126209,2082
2806,2105
90863,2109
140760,2114
103577,2122
452675,2139
47983,2182
112860,2195
280539,2202
295862,2262
295862,2264
3106,2269
182813,2292
182813,2295
122922,2312
211721,2330
2704,2331
211721,2332
211721,2334
211721,2335
166698,2362
2396,2395
420,2454
351667,2459
206072,2463
149191,2487
31562,2501
31562,2502
31562,2503
86347,2605
248126,2619
2643,2648
105625,2662
91663,2665
64750,2667
93369,2671
124949,2698
2704,2701
330892,2722
2704,2734
11716,2758
257071,2764
2806,2770
2794,2787
2794,2789
2794,2791
2396,2899
11716,2907
87631,2926
2980,2978
218406,3035
3106,3040
3167,3049
3169,3050
157890,3054
218406,3074
123720,3075
259027,3076
218406,3077
123720,3079
86336,3093
3292,3097
218406,3103
123720,3104
374509,3107
374509,3115
123720,3117
123720,3124
123720,3127
87250,3170
16302,3176
16302,3177
475520,3396
98462,3483
98462,3485
112399,3512
47814,3529
3601,3597
3601,3600
3601,3602
261382,3683
9309,3686
314917,3687
177062,3936
177062,3937
177062,3938
177062,3941
177062,3966
10893,3980
85960,4032
9518,4108
12141,4180
2602,4232
2602,4233
2602,4234
4246,4247
4246,4248
4246,4256
4246,4257
4246,4258
279836,4326
86029,4327
4438,4437
123289,4457
39460,4480
39460,4481
239968,4484
9735,4488
91660,4513
100286,4517
100286,4518
262011,4520
4563,4550
91698,4551
84923,4558
50457,4564
192492,4614
4563,4689
10517,4727
10517,4728
10517,4729
89188,4889
10721,4961
8783,4978
289531,4984
460334,5056
37261,5060
37261,5061
37261,5064
37261,5065
37261,5066
48194,5086
294834,5157
441439,5165
90863,5174
90863,5175
5202,5203
245129,5205
141084,5393
52789,5458
52789,5460
134011,5503
5547,5548
5547,5549
5547,5550
342009,5608
294834,5651
47627,5677
182617,5680
179244,5683
59586,5689
167691,5691
294834,5721
294834,5725
379920,5753
158391,5801
356437,5817
108693,5825
8819,5833
101246,5889
101246,5890
439053,5894
431417,5921
12075,6007
59567,6038
215456,6076
937,6081
103573,6279
9735,6466
167613,6477
286162,6499
332357,6519
374511,6593
52984,6637
43058,6878
340623,6917
126580,6933
107471,6935
102777,7006
321061,7010
9309,7085
109608,7092
109608,7131
133923,7219
33938,7227
13800,7249
8385,7294
387618,7295
257053,7340
257053,7341
119581,7347
123249,7392
52785,7451
66761,7484
7505,7504
7505,7509
96680,7516
93731,7553
5039,7555
17255,7737
98513,8007
8050,8009
8050,8010
8050,8011
91698,8012
256729,8016
9649,8068
144146,8072
8091,8077
8091,8078
240156,8211
8385,8214
387618,8224
2806,8273
298820,8274
298820,8275
298820,8277
86092,8328
74508,8329
389767,8346
8354,8355
476065,8357
25542,8359
8650,8373
87186,8374
87805,8393
261590,8408
256729,8429
312744,8445
96676,8456
8647,8460
96665,8467
118221,8491
118221,8494
8537,8536
59567,8584
94032,8587
123255,8617
135483,8681
93791,8699
8917,8766
8945,8810
170452,8831
86024,8835
19387,8836
8819,8839
169452,8840
223564,8843
112399,8845
105075,8850
422193,8851
8580,8856
94039,8868
8979,8872
8979,8873
86774,8880
86774,8881
462400,8909
10789,8913
86115,8920
94899,8922
152544,8923
14890,8961
100965,8965
33514,8966
96937,8968
166373,8975
251970,8982
166376,8997
8917,9003
76291,9010
9068,9011
17178,9012
108804,9017
53159,9021
264335,9030
9068,9033
86083,9037
9046,9048
9046,9050
269098,9056
115142,9059
208765,9063
8917,9064
208765,9065
224478,9066
286162,9070
9328,9073
9088,9084
9329,9086
122017,9102
232403,9252
52988,9255
221111,9257
48188,9264
115839,9266
3167,9273
330605,9277
307637,9279
96679,9285
8864,9286
106498,9288
9332,9290
9818,9312
94589,9316
94039,9318
23026,9323
97459,9325
89264,9326
86028,9327
192492,9331
116669,9334
9518,9335
9338,9336
165679,9337
1657,9342
9887,9348
10713,9349
72119,9354
8945,9355
9521,9356
8864,9358
105995,9360
91799,9362
9649,9367
94039,9369
475802,9372
425175,9373
232403,9379
166376,9383
94039,9385
43055,9387
87258,9392
212525,9394
9332,9396
352789,9398
269098,9404
436295,9408
162028,9409
109609,9426
115142,9431
142680,9437
9435,9447
9436,9456
205860,9460
122952,9463
86029,9471
409026,9474
133297,9478
86117,9486
86486,9488
9521,9494
9436,9495
9500,9496
165855,9497
77816,9502
215456,9511
86115,9513
9500,9514
98580,9529
8537,9531
8864,9532
9743,9533
110127,9535
88574,9538
476054,9542
14246,9545
12263,9552
45154,9556
2396,9564
287684,9565
117952,9568
133297,9572
86113,9592
52988,9595
9435,9598
44979,9600
338282,9605
43055,9610
9485,9615
43055,9626
86860,9637
47770,9638
114783,9641
94039,9642
232403,9657
8945,9659
1972,9666
93369,9669
9332,9671
93369,9674
124188,9682
126580,9694
937,9699
93369,9706
135502,9710
9887,9711
9888,9714
9735,9725
9735,9728
9735,9730
9735,9731
94032,9732
14890,9737
9744,9738
9743,9740
9500,9742
104833,9749
86092,9762
110177,9763
97771,9771
17368,9779
8918,9792
8918,9793
426985,9797
9485,9799
8936,9801
215606,9803
468222,9806
110177,9815
107469,9816
107469,9817
9818,9823
97768,9825
328073,9834
92012,9836
135502,9838
286006,9841
192492,9869
11794,9871
171439,9873
52760,9877
107674,9880
268098,9885
52985,9902
351886,9922
94039,9929
110127,9932
97771,9942
348843,9945
100970,9948
101385,9958
93791,9965
164395,9966
91657,9973
55428,9975
299748,9990
85817,9992
86224,10003
98513,10005
296872,10007
96472,10009
96472,10010
8581,10014
124951,10019
153010,10020
144689,10028
43220,10032
404111,10035
215606,10036
93220,10040
300431,10044
85946,10045
276838,10053
86486,10054
115838,10061
397842,10065
121195,10068
98430,10070
8581,10072
467577,10089
306063,10105
10893,10127
174245,10128
8581,10131
98853,10134
224976,10135
99727,10137
131292,10138
420,10140
33085,10144
423173,10147
439053,10149
96665,10152
9338,10157
8581,10160
124935,10163
43063,10167
176118,10172
17368,10188
89137,10191
2150,10192
10194,10193
131296,10195
256377,10208
10924,10213
43072,10214
9887,10216
105322,10222
9735,10225
34055,10228
104068,10239
104068,10241
109592,10246
192541,10257
238448,10260
184977,10275
9735,10281
9735,10283
9735,10285
52760,10292
86112,10294
89264,10303
10522,10304
10453,10306
14563,10320
86024,10327
86307,10328
261590,10331
97460,10340
109609,10344
88735,10345
135489,10351
52888,10353
11794,10361
10713,10366
133830,10372
8783,10380
264335,10389
95664,10402
74083,10408
10709,10414
43563,10426
256377,10437
168880,10438
76291,10469
9500,10470
43563,10471
169452,10473
124916,10481
268014,10482
86116,10483
232844,10488
8580,10495
381396,10496
10517,10516
14740,10527
102322,10528
136214,10530
97456,10545
9436,10546
116661,10547
159616,10557
246839,10560
74083,10570
277739,10575
119674,10576
115822,10577
115822,10578
115822,10579
167552,10580
10455,10585
9338,10587
8647,10594
126221,10603
145784,10606
176097,10611
10457,10617
10457,10618
10457,10619
10457,10620
99606,10625
43563,10634
166698,10640
374512,10643
147669,10645
10456,10648
10456,10649
10456,10650
10456,10651
74508,10664
33938,10671
52783,10673
87236,10674
91361,10676
86058,10677
312977,10679
10709,10680
143755,10692
55422,10693
10713,10704
10721,10706
228887,10708
155474,10711
86105,10726
135498,10730
12077,10748
95891,10751
269098,10753
146534,10762
645,10764
10919,10766
10919,10768
351721,10770
386818,10772
58588,10775
425175,10781
259401,10787
238419,10797
247294,10802
288280,10805
3169,10808
115225,10823
98580,10824
91799,10829
93568,10839
93568,10841
285130,10845
309259,10855
162028,10859
100965,10865
166378,10866
12087,10869
256377,10874
91799,10891
33085,10898
10789,10906
366826,10911
409026,10915
10441,10916
10441,10921
91427,10923
101471,10925
375886,10929
105764,10939
10441,10940
10441,10941
10441,10942
87253,10947
100970,10948
353325,10956
221537,10973
146136,10974
146136,10975
87255,10982
91361,10987
34055,10991
87014,10992
99727,10996
87220,11006
114783,11007
288280,11009
167985,11011
86860,11024
12263,11026
123251,11037
351721,11039
94039,11047
10964,11048
10964,11053
10964,11055
117927,11059
97771,11067
91799,11069
180854,11077
74083,11084
86341,11119
10522,11127
107674,11130
10453,11133
269098,11134
57971,11135
86334,11137
108693,11153
72119,11158
10964,11160
10709,11164
305360,11175
256377,11176
473850,11178
165679,11179
52835,11183
10455,11186
10455,11187
430186,11211
55419,11224
355490,11229
12203,11230
8580,11231
462565,11236
105995,11237
86027,11238
363966,11243
8917,11246
437451,11247
10455,11249
17235,11253
91361,11281
30663,11282
35792,11283
8581,11284
