id,lang_id
2,0
2,1
3,2
3,0
3,3
5,2
6,2
11,2
12,2
13,2
14,2
15,2
16,2
17,2
17,4
18,2
18,3
18,1
19,5
20,2
21,2
22,2
24,2
24,6
24,7
25,2
25,8
25,9
25,10
26,9
26,2
26,1
26,11
26,12
26,13
27,2
28,14
28,2
28,7
28,15
30,6
33,2
35,2
38,2
55,8
58,2
58,13
58,16
58,17
59,2
62,2
62,18
63,2
63,7
64,8
65,2
66,2
66,8
67,9
67,2
68,2
69,2
69,18
70,2
70,19
71,2
73,2
74,2
75,2
75,7
76,2
76,1
76,7
77,2
78,2
78,1
78,20
78,6
78,21
79,17
80,2
80,7
81,6
82,2
82,8
83,2
85,2
85,8
85,1
85,11
85,9
85,22
86,2
86,1
87,2
87,23
88,2
89,1
89,16
89,2
90,2
91,8
92,18
92,8
92,24
92,2
93,2
95,2
95,18
96,2
97,2
98,2
99,8
100,2
101,2
102,25
103,2
103,8
104,1
104,2
104,6
105,2
106,2
106,8
107,2
107,18
108,7
108,26
109,7
109,21
109,26
110,7
111,2
111,8
112,25
113,27
114,2
114,12
114,6
115,2
115,11
115,8
115,1
116,2
117,2
118,2
120,2
121,2
122,2
123,2
124,2
124,26
127,26
128,6
129,6
132,2
133,2
134,2
135,2
136,2
136,7
136,1
137,2
137,7
137,12
138,2
138,1
138,21
139,25
140,8
141,2
142,2
143,2
143,7
143,1
143,10
144,2
144,7
144,1
145,2
146,17
147,2
147,7
148,2
148,7
148,8
149,6
150,2
152,2
153,6
153,2
154,2
155,2
155,17
156,2
157,2
157,18
158,1
159,1
160,5
161,12
161,2
162,2
163,7
163,12
163,28
163,17
163,2
164,2
164,29
165,2
166,7
167,2
168,2
168,0
169,2
170,8
170,2
171,7
172,2
173,2
174,2
175,2
175,7
175,12
176,2
177,2
178,2
179,2
179,7
179,29
180,2
180,3
182,2
182,1
182,17
182,18
183,2
183,12
184,2
185,2
186,2
187,2
189,2
192,2
192,10
193,2
194,7
194,18
195,2
195,12
196,2
197,2
197,7
197,10
197,30
198,2
199,2
200,2
201,2
203,2
203,12
204,7
204,2
204,8
204,12
204,1
205,2
205,7
206,2
207,2
211,1
212,2
212,1
213,2
214,2
215,2
216,9
216,1
217,2
217,1
217,18
218,2
219,8
220,2
221,2
222,1
223,2
223,7
224,26
225,26
226,2
227,2
228,2
228,7
228,1
229,2
231,9
231,2
231,31
231,32
231,7
231,17
232,2
233,2
234,5
235,2
236,2
237,2
238,2
238,12
238,10
239,2
240,2
240,12
240,10
240,8
241,2
241,33
241,6
242,2
242,12
242,1
242,10
243,25
243,2
244,2
245,2
246,6
247,2
248,2
248,8
249,2
250,25
250,2
250,1
250,34
251,2
252,2
252,7
252,1
253,2
253,21
254,2
255,7
256,7
257,2
258,7
259,7
260,2
261,2
262,2
265,1
266,2
266,7
266,1
266,12
267,8
268,2
268,7
269,7
269,2
271,3
272,2
272,32
272,17
273,1
274,2
275,2
276,1
277,2
278,2
279,2
279,1
279,12
279,10
280,2
280,8
281,2
284,2
285,2
286,1
287,2
287,12
288,2
289,1
289,7
289,12
289,2
290,2
291,2
292,2
292,1
293,2
294,2
296,2
297,2
298,8
298,2
298,7
299,2
300,2
300,7
300,8
301,2
301,8
302,2
302,7
303,2
306,2
307,1
307,12
308,2
309,25
309,1
309,2
310,2
311,2
311,7
311,12
312,1
313,2
313,18
314,8
314,2
315,2
316,1
317,35
317,36
318,2
319,2
319,12
320,2
321,2
321,7
321,12
322,2
326,2
326,37
327,2
327,12
327,6
327,8
329,2
329,8
330,2
331,2
331,8
332,2
332,38
332,7
332,8
333,2
334,2
334,7
334,1
335,2
336,8
336,12
337,7
337,13
338,1
339,2
339,0
339,7
339,1
339,12
340,2
340,18
340,39
342,1
343,2
344,1
345,2
346,6
347,5
348,2
348,8
349,7
350,2
350,7
363,2
363,1
363,13
364,2
377,2
378,2
379,30
379,12
379,40
379,2
380,12
380,2
381,7
381,2
383,2
383,8
387,1
387,2
387,7
388,2
388,41
389,2
390,2
390,1
390,29
391,12
391,8
392,2
392,7
393,2
393,17
393,8
393,20
395,12
395,2
396,2
396,10
397,7
397,2
398,2
400,2
401,2
402,2
403,2
403,21
403,26
404,2
405,12
406,7
407,1
407,16
407,34
407,13
408,2
409,1
409,12
409,9
409,2
410,1
411,2
411,1
414,2
415,2
421,2
421,42
421,29
421,7
421,43
421,1
421,12
422,1
422,2
422,7
422,12
423,2
423,1
423,18
424,1
424,26
424,11
424,2
425,2
426,2
427,7
428,1
429,12
430,2
430,1
430,18
431,1
431,2
433,2
434,1
435,2
435,6
435,7
435,9
435,8
436,2
436,8
437,2
438,8
438,2
438,7
439,1
439,2
439,7
439,12
440,2
441,2
442,0
442,3
445,7
451,2
452,25
453,2
454,2
455,2
455,44
457,1
458,1
459,1
460,1
462,2
462,7
464,2
464,12
464,3
465,7
466,2
467,2
468,2
469,2
469,21
470,2
471,26
471,2
473,2
475,2
476,2
479,2
479,8
479,1
480,2
480,24
481,8
482,2
483,2
488,2
488,1
488,45
489,2
490,3
492,2
492,7
493,2
494,2
496,2
496,11
496,46
497,7
497,2
499,7
500,2
501,2
502,2
503,2
503,8
504,2
505,2
505,7
506,2
506,8
507,2
507,7
508,2
508,7
508,29
509,2
509,8
510,2
511,1
511,26
511,18
511,40
512,2
513,2
513,24
521,2
522,2
523,1
524,2
525,2
526,2
527,2
527,47
530,2
531,2
532,2
533,2
534,2
534,12
535,2
535,29
537,7
539,2
540,2
541,2
541,8
542,8
543,2
544,2
546,2
547,2
548,6
549,2
549,8
550,2
551,2
552,12
553,2
554,0
554,1
554,18
557,2
558,2
558,18
558,17
559,2
559,7
560,2
561,2
561,29
561,43
562,2
562,1
562,12
563,2
564,2
564,9
565,2
567,2
568,2
570,2
570,7
570,12
571,2
572,38
572,3
573,2
574,9
574,2
574,7
574,12
575,1
576,2
576,1
576,8
577,2
578,2
579,2
580,2
581,2
582,1
583,2
584,2
584,8
585,2
586,41
586,2
587,2
588,2
590,2
591,2
591,7
591,10
591,8
592,2
593,18
594,48
594,2
594,7
594,18
594,8
595,2
596,2
597,2
597,7
597,1
597,3
597,12
597,18
598,29
599,2
600,2
600,15
601,2
602,2
603,2
604,2
605,2
605,7
606,2
606,45
607,2
607,8
608,2
609,2
612,9
612,1
612,16
612,2
612,7
612,11
612,12
612,18
613,21
613,1
613,18
614,10
614,3
615,11
615,10
616,2
616,6
617,2
618,5
619,2
620,2
621,2
622,2
622,7
622,10
622,26
622,29
622,8
623,2
623,12
623,18
624,2
625,29
625,2
625,7
625,21
625,14
626,5
627,2
628,2
628,7
629,8
629,2
629,7
629,21
630,2
631,5
632,2
632,1
632,18
633,28
633,2
633,1
634,2
635,2
635,7
636,2
637,2
637,1
637,12
638,2
639,2
640,2
640,7
641,2
642,2
642,8
643,18
644,2
646,2
646,7
647,6
648,7
649,7
649,49
649,8
650,2
651,2
651,7
651,6
651,27
652,2
654,2
655,2
657,2
657,18
657,13
657,50
658,17
658,2
658,8
659,1
659,11
659,12
659,26
659,18
660,2
660,7
661,2
661,1
662,7
662,1
663,2
664,2
665,2
666,29
667,2
667,6
667,18
668,2
668,1
669,2
670,27
671,2
672,2
673,2
674,2
674,7
675,2
676,7
676,2
676,6
677,1
678,2
679,2
680,2
680,8
680,7
681,2
681,1
682,37
682,20
682,2
685,1
686,2
687,2
688,2
689,16
690,7
691,2
691,12
691,9
692,2
693,2
694,2
695,2
696,2
697,5
698,2
698,12
699,16
699,2
699,12
700,1
700,2
700,18
700,8
701,2
702,2
703,2
703,1
704,2
705,2
705,7
706,1
707,2
708,2
708,9
708,7
708,1
708,18
708,51
708,52
709,2
709,8
710,2
710,18
710,8
711,2
712,2
713,2
713,47
714,1
714,2
714,25
714,17
714,20
742,3
744,2
745,10
745,8
745,2
746,51
746,2
746,6
746,17
746,18
747,2
750,2
751,2
752,2
753,2
754,2
754,10
755,2
755,8
756,2
757,2
758,2
759,7
759,2
760,2
760,7
760,11
760,40
761,7
762,7
762,10
762,2
763,2
764,2
765,2
766,2
767,2
768,2
768,21
768,18
769,12
769,2
770,2
771,2
772,2
772,7
773,2
774,5
775,7
775,5
776,7
777,18
777,1
777,7
777,2
778,7
779,1
780,7
781,1
782,2
782,53
783,2
783,24
784,51
784,18
784,52
786,2
787,2
787,8
788,2
789,51
789,1
790,2
791,2
791,21
791,12
792,2
792,15
793,2
794,2
794,12
794,10
795,2
795,26
796,15
796,2
796,7
797,3
798,1
799,1
800,8
801,2
802,2
803,7
804,2
804,12
805,2
806,2
807,2
808,2
809,2
810,2
811,2
811,1
812,2
813,2
814,2
815,2
816,2
817,1
817,2
818,2
818,6
818,1
818,7
819,2
820,2
820,8
821,2
822,54
823,6
824,7
824,8
824,2
825,2
826,6
826,37
826,2
827,2
827,7
828,2
828,7
828,24
828,18
829,8
829,20
829,2
830,2
831,2
832,1
833,12
834,2
834,7
834,21
836,29
837,2
838,2
839,2
840,24
840,2
840,7
840,8
841,2
841,12
842,2
843,20
843,7
843,8
844,20
844,6
844,17
845,7
845,2
846,2
847,2
848,2
848,21
849,2
850,2
851,2
853,1
853,2
853,18
854,3
854,2
855,2
855,55
856,2
857,51
857,1
857,2
857,7
858,2
859,2
860,2
861,2
862,2
863,2
864,2
864,7
864,1
864,18
865,2
866,2
867,2
868,56
868,57
868,58
869,2
870,6
871,2
872,2
873,2
874,2
874,7
874,10
874,8
875,20
875,2
876,2
876,7
876,12
876,18
877,2
877,12
878,1
879,2
880,28
881,2
883,2
884,2
884,3
885,5
886,2
887,2
888,2
889,2
890,1
891,8
891,2
892,7
895,59
895,18
895,12
896,54
897,54
898,2
899,5
900,2
901,2
902,20
902,7
903,2
905,1
907,2
907,18
909,2
910,2
911,2
912,2
913,2
914,2
914,53
916,2
917,24
918,2
919,2
919,6
920,2
920,12
920,6
920,40
921,2
922,2
922,8
923,2
924,2
924,12
925,2
926,2
927,2
927,8
928,2
929,2
929,7
929,6
929,18
929,8
931,12
931,2
932,1
934,2
934,7
934,12
935,2
936,2
936,7
936,12
938,12
939,2
939,8
939,40
940,12
940,2
940,1
940,7
941,2
942,2
942,56
943,2
944,2
944,20
944,17
946,2
947,9
947,2
947,13
948,2
949,2
949,8
950,2
951,2
951,8
953,2
953,7
953,29
953,8
953,37
954,2
954,7
954,51
955,2
956,1
956,2
956,12
956,17
956,51
956,20
957,2
961,2
962,2
963,2
964,2
965,2
966,2
966,8
967,2
968,2
975,2
975,1
975,10
976,2
977,2
978,2
979,7
980,2
981,2
982,2
983,2
984,8
984,2
985,2
986,2
986,8
987,2
988,2
989,2
989,8
990,2
991,2
992,2
993,2
994,2
995,2
996,2
1018,8
1018,2
1023,25
1024,2
1039,1
1040,12
1040,10
1040,7
1049,2
1050,2
1050,17
1050,8
1051,2
1051,7
1052,2
1058,2
1059,6
1073,2
1075,36
1088,2
1088,47
1089,2
1090,2
1091,2
1091,38
1092,2
1092,18
1092,1
1093,1
1093,7
1103,2
1114,49
1115,7
1115,1
1116,2
1116,19
1116,10
1123,56
1123,2
1123,58
1124,2
1125,2
1126,2
1127,8
1162,2
1163,2
1164,9
1164,2
1164,8
1164,7
1164,6
1164,18
1165,1
1165,2
1165,7
1213,2
1213,12
1244,1
1245,2
1246,2
1246,8
1247,2
1247,18
1247,8
1247,1
1247,60
1248,2
1248,1
1248,18
1249,2
1250,2
1251,2
1251,6
1252,2
1253,2
1253,1
1254,7
1255,27
1257,2
1259,2
1259,7
1260,61
1260,28
1262,2
1265,2
1266,2
1266,13
1267,2
1268,2
1268,7
1268,18
1269,1
1271,2
1272,2
1273,2
1277,2
1277,1
1277,21
1278,2
1278,7
1279,27
1280,27
1281,2
1282,2
1283,8
1284,8
1285,8
1294,1
1358,2
1359,2
1359,8
1359,20
1360,2
1360,7
1360,18
1361,2
1362,2
1363,2
1364,2
1364,7
1364,1
1364,8
1365,2
1366,2
1367,2
1368,2
1369,2
1369,15
1370,2
1370,18
1371,2
1372,56
1372,2
1373,2
1374,2
1375,2
1376,2
1377,2
1377,12
1378,2
1379,0
1379,18
1380,2
1381,2
1382,2
1387,2
1389,2
1391,8
1392,54
1392,2
1393,49
1394,12
1394,18
1396,18
1398,18
1402,2
1402,20
1403,2
1404,8
1404,2
1404,44
1405,2
1406,2
1406,1
1407,7
1408,2
1408,10
1410,2
1411,2
1412,2
1413,2
1414,21
1414,8
1415,2
1416,27
1416,8
1417,8
1418,8
1419,1
1420,2
1421,7
1422,2
1422,20
1427,2
1428,2
1428,8
1429,2
1430,2
1433,8
1435,2
1439,2
1439,37
1440,2
1441,2
1443,2
1444,2
1448,2
1450,2
1450,6
1452,2
1452,7
1452,1
1479,2
1480,2
1480,8
1481,2
1482,2
1483,2
1484,1
1485,2
1487,18
1487,2
1488,49
1491,2
1492,2
1493,2
1493,8
1493,7
1493,18
1494,17
1495,9
1495,2
1495,12
1495,10
1496,2
1497,2
1498,7
1498,2
1499,2
1523,2
1523,7
1523,1
1523,45
1534,2
1534,42
1534,18
1535,20
1535,2
1535,1
1535,9
1535,7
1537,2
1538,8
1538,2
1539,1
1540,7
1540,2
1540,62
1541,2
1542,2
1543,1
1544,2
1546,2
1547,2
1548,2
1549,7
1550,17
1550,2
1551,2
1551,7
1551,8
1552,2
1553,7
1554,2
1554,12
1555,12
1555,7
1555,8
1555,2
1555,63
1555,25
1555,1
1556,6
1557,18
1557,1
1557,2
1559,2
1560,2
1560,16
1561,7
1562,2
1563,7
1566,2
1566,1
1567,7
1568,7
1568,1
1571,2
1571,12
1571,7
1572,2
1572,1
1572,50
1573,2
1573,8
1574,21
1574,2
1576,2
1577,2
1578,2
1579,2
1580,2
1581,2
1583,1
1584,2
1585,2
1586,2
1587,2
1588,2
1589,2
1590,1
1591,2
1591,1
1591,45
1592,2
1592,8
1593,2
1593,12
1593,11
1594,2
1594,7
1595,2
1596,2
1596,18
1597,2
1598,2
1599,2
1600,7
1600,12
1600,26
1607,2
1607,12
1608,2
1609,2
1610,2
1611,1
1613,2
1615,1
1616,1
1618,2
1618,21
1619,2
1619,7
1620,2
1620,18
1620,36
1621,2
1621,29
1622,7
1623,2
1624,2
1626,7
1627,7
1628,2
1628,7
1628,1
1629,7
1630,2
1631,7
1632,2
1633,2
1634,2
1635,2
1636,2
1636,18
1636,8
1637,2
1639,2
1639,29
1640,2
1640,31
1640,8
1640,17
1640,27
1641,2
1642,2
1642,8
1643,2
1643,7
1644,2
1645,2
1646,2
1646,8
1647,2
1647,31
1647,18
1648,2
1648,7
1648,1
1648,16
1649,2
1651,7
1652,1
1653,64
1653,8
1654,10
1654,2
1654,1
1654,7
1654,8
1655,1
1656,2
1656,12
1656,8
1659,1
1660,7
1661,1
1662,2
1666,2
1667,7
1667,2
1669,2
1669,18
1672,7
1673,2
1675,2
1675,7
1676,2
1677,2
1678,6
1679,6
1680,6
1682,6
1683,8
1683,2
1685,2
1686,2
1687,2
1688,2
1689,2
1690,2
1691,2
1691,26
1694,2
1694,1
1696,8
1696,2
1697,1
1698,1
1698,10
1700,2
1701,2
1702,2
1705,2
1710,2
1710,1
1712,2
1712,8
1713,2
1714,2
1715,2
1716,7
1717,2
1718,2
1719,7
1720,7
1720,42
1721,12
1722,2
1722,1
1722,16
1722,12
1723,2
1724,29
1724,8
1724,2
1725,2
1726,2
1726,31
1726,32
1726,9
1727,2
1729,2
1729,17
1730,2
1730,26
1731,2
1732,2
1732,1
1732,8
1734,2
1734,9
1735,2
1735,17
1735,65
1736,1
1738,2
1738,7
1738,1
1770,2
1771,7
1771,38
1771,2
1772,2
1773,2
1773,1
1774,2
1775,2
1776,2
1777,9
1777,2
1778,2
1779,2
1781,2
1782,2
1782,7
1783,2
1783,1
1783,6
1785,2
1785,7
1786,2
1786,7
1786,1
1786,16
1786,10
1787,7
1788,2
1789,8
1789,2
1790,2
1791,7
1791,1
1792,2
1793,1
1793,2
1802,7
1802,1
1803,2
1807,2
1808,2
1809,2
1809,1
1810,2
1810,1
1810,12
1811,2
1812,2
1813,2
1813,7
1813,1
1813,12
1813,17
1813,8
1815,2
1815,1
1816,2
1816,7
1817,2
1817,45
1818,7
1819,2
1824,2
1825,2
1826,7
1829,2
1829,7
1830,9
1830,1
1830,2
1830,7
1830,18
1830,8
1830,39
1830,13
1831,7
1831,2
1832,2
1833,2
1834,2
1835,2
1836,7
1837,7
1838,25
1840,2
1841,2
1842,2
1843,2
1844,2
1845,2
1845,7
1845,1
1846,2
1847,2
1848,2
1849,2
1850,2
1852,2
1853,2
1857,2
1857,6
1858,8
1858,2
1859,2
1863,2
1863,12
1863,18
1865,2
1865,8
1870,7
1871,7
1872,2
1872,26
1873,2
1874,2
1874,57
1875,7
1877,2
1877,1
1878,2
1879,2
1880,2
1880,18
1880,8
1882,2
1882,8
1883,9
1883,2
1884,2
1885,2
1887,2
1887,7
1887,10
1888,2
1890,51
1890,2
1891,2
1892,2
1893,2
1894,2
1895,2
1896,63
1896,8
1899,17
1900,8
1900,2
1901,2
1901,12
1902,8
1903,2
1904,2
1904,6
1906,1
1907,2
1907,7
1907,66
1907,3
1907,37
1908,2
1908,7
1908,8
1909,2
1911,2
1911,38
1912,1
1913,67
1913,8
1914,1
1915,1
1915,21
1917,7
1918,11
1919,2
1920,2
1921,2
1922,2
1923,2
1924,2
1926,9
1926,2
1926,7
1926,11
1926,24
1926,6
1926,31
1926,8
1927,2
1927,8
1930,2
1931,2
1933,7
1933,2
1934,2
1936,2
1937,2
1938,2
1939,2
1940,2
1941,2
1942,2
1944,2
1945,2
1946,2
1947,2
1947,7
1948,2
1948,8
1948,27
1949,2
1950,2
1951,2
1954,2
1955,2
1956,2
1957,2
1958,7
1959,2
1961,2
1963,27
1964,1
1965,9
1965,2
1966,2
1967,2
1968,2
1969,2
1969,8
1970,2
1970,6
1975,2
1975,6
1975,18
1976,2
1976,7
1977,2
1977,6
1977,26
1978,2
1979,2
1979,6
1979,9
1979,17
1984,2
1985,1
1985,2
1985,12
1985,45
1986,68
1986,7
1986,11
1987,9
1987,2
1987,7
1987,1
1988,2
1988,7
1988,32
1989,2
1990,2
1991,2
1992,2
1993,7
1993,12
1994,18
1994,2
1995,2
1996,2
1996,17
1997,2
1997,7
1997,37
1998,2
1998,7
1998,12
1998,14
1999,34
1999,2
2000,1
2000,8
2001,2
2001,18
2002,7
2003,7
2004,1
2004,16
2004,13
2005,2
2006,2
2006,7
2007,2
2007,7
2007,21
2008,2
2008,1
2008,17
2009,50
2010,6
2011,2
2011,7
2011,1
2011,31
2012,2
2012,7
2012,8
2013,7
2014,2
2014,1
2014,13
2015,27
2016,9
2016,7
2017,2
2018,2
2019,2
2020,2
2021,2
2022,2
2023,2
2024,2
2026,2
2028,2
2029,7
2033,2
2034,2
2034,18
2034,8
2034,27
2038,2
2039,2
2042,2
2042,7
2042,34
2043,2
2043,18
2044,2
2045,2
2046,2
2047,2
2048,2
2049,2
2054,2
2055,2
2056,2
2057,2
2057,1
2057,6
2057,10
2057,8
2058,2
2059,10
2059,2
2059,8
2061,25
2062,2
2064,2
2067,2
2069,2
2069,7
2069,8
2071,2
2072,2
2074,2
2075,2
2077,2
2078,2
2079,2
2080,2
2082,2
2084,2
2084,18
2085,2
2085,17
2086,2
2087,2
2088,2
2089,2
2089,1
2091,2
2093,17
2093,2
2093,8
2093,28
2094,2
2095,2
2095,10
2097,6
2098,2
2099,2
2100,2
2102,2
2103,2
2104,7
2105,2
2107,2
2108,2
2109,2
2110,7
2110,6
2110,18
2111,17
2112,2
2114,2
2115,2
2116,2
2117,1
2118,2
2119,2
2122,2
2122,11
2122,21
2123,2
2123,1
2124,51
2124,2
2125,2
2132,2
2133,2
2134,2
2135,2
2139,2
2139,17
2140,2
2140,7
2140,17
2141,2
2142,2
2143,2
2143,8
2144,2
2148,2
2148,12
2149,2
2151,2
2152,2
2153,2
2154,2
2155,2
2157,2
2160,2
2160,7
2161,2
2162,2
2163,2
2164,2
2164,38
2164,3
2165,2
2166,2
2168,2
2169,1
2171,2
2172,69
2176,8
2176,2
2179,2
2180,3
2182,2
2185,2
2186,2
2189,2
2191,2
2191,1
2192,12
2193,2
2195,1
2196,2
2197,7
2199,2
2200,1
2202,2
2204,1
2204,2
2204,28
2207,2
2210,2
2211,1
2212,2
2232,1
2239,2
2241,1
2246,2
2251,2
2251,7
2252,2
2252,18
2252,13
2252,39
2252,32
2253,2
2253,1
2255,2
2259,8
2259,2
2260,2
2261,2
2262,2
2262,1
2263,2
2263,21
2263,8
2264,1
2266,8
2266,7
2266,2
2266,17
2266,9
2267,2
2267,8
2267,37
2268,42
2268,2
2268,18
2268,7
2269,18
2270,2
2274,2
2275,2
2277,2
2280,2
2282,2
2282,7
2284,2
2286,28
2286,1
2287,2
2288,2
2289,2
2290,2
2291,2
2292,2
2293,2
2294,2
2295,2
2297,2
2300,2
2302,40
2302,2
2307,2
2309,2
2310,2
2312,2
2313,2
2319,1
2320,2
2321,2
2322,2
2322,17
2322,18
2323,2
2324,2
2325,2
2325,1
2325,18
2330,29
2330,7
2330,1
2330,27
2331,2
2331,12
2331,29
2332,1
2332,7
2332,6
2333,1
2334,7
2335,7
2348,2
2349,1
2355,2
2357,2
2357,8
2359,2
2359,7
2359,18
2359,8
2360,7
2360,2
2362,2
2363,7
2363,1
2370,2
2370,7
2370,18
2370,8
2371,7
2371,18
2383,2
2395,7
2395,29
2397,2
2428,2
2433,7
2436,2
2436,7
2438,2
2438,8
2440,2
2440,1
2440,27
2441,8
2442,2
2444,1
2444,8
2447,2
2447,29
2453,2
2454,2
2455,7
2457,7
2459,7
2460,8
2462,25
2462,7
2462,2
2463,20
2463,2
2469,8
2470,8
2486,2
2487,6
2493,2
2501,2
2501,7
2501,1
2501,28
2501,12
2502,2
2502,18
2502,1
2502,12
2503,2
2503,7
2503,9
2503,18
2503,8
2516,2
2517,6
2525,2
2527,7
2528,7
2539,8
2539,2
2546,7
2565,2
2566,1
2566,7
2566,2
2567,2
2574,7
2575,2
2575,8
2576,2
2576,1
2577,2
2587,2
2588,8
2593,7
2594,7
2604,2
2604,8
2605,2
2608,8
2608,2
2609,2
2610,2
2610,26
2611,16
2611,2
2611,19
2612,2
2612,21
2613,28
2613,2
2614,2
2616,2
2617,2
2619,2
2619,12
2620,2
2621,2
2621,12
2623,2
2625,2
2636,2
2637,2
2639,2
2640,2
2640,12
2642,2
2648,20
2649,20
2649,1
2649,2
2652,2
2654,2
2655,2
2657,2
2661,2
2662,2
2665,2
2666,2
2667,2
2668,2
2669,2
2671,6
2675,2
2675,29
2687,2
2690,2
2692,1
2694,17
2698,2
2699,2
2701,1
2701,2
2721,2
2721,7
2721,18
2722,8
2728,2
2731,7
2731,15
2734,2
2734,1
2742,9
2742,2
2748,2
2748,12
2749,51
2749,2
2749,16
2749,18
2750,2
2752,2
2753,28
2753,1
2753,18
2754,28
2755,2
2756,2
2757,2
2757,10
2758,2
2759,2
2760,2
2761,2
2761,12
2762,2
2764,28
2767,7
2768,2
2768,7
2768,1
2768,3
2769,2
2769,7
2769,1
2770,2
2771,2
2777,27
2778,2
2779,2
2779,26
2786,7
2787,2
2788,2
2789,2
2791,2
2798,7
2800,2
2800,8
2805,37
2813,7
2817,7
2830,2
2832,2
2841,70
2841,7
2841,1
2860,7
2861,7
2882,7
2887,2
2890,28
2891,2
2892,2
2894,7
2895,2
2897,2
2897,8
2897,7
2898,2
2899,1
2899,7
2899,9
2899,20
2899,10
2900,2
2907,2
2909,1
2911,2
2912,7
2923,7
2923,2
2923,12
2924,2
2925,2
2926,2
2927,2
2928,2
2928,29
2929,5
2959,2
2963,5
2965,2
2966,2
2972,5
2973,5
2974,1
2976,2
2977,2
2977,13
2978,2
2979,2
2981,2
2982,2
2984,2
2988,2
2989,2
2990,2
2993,12
2994,12
2998,2
3001,2
3003,2
3004,2
3007,1
3009,2
3010,2
3010,1
3010,10
3011,2
3012,2
3013,2
3014,18
3014,1
3014,2
3016,2
3019,2
3021,2
3022,2
3023,2
3024,2
3025,2
3026,7
3028,2
3030,2
3031,2
3031,8
3033,2
3033,21
3034,2
3034,1
3035,2
3036,2
3037,1
3040,1
3040,18
3041,8
3043,2
3043,7
3048,2
3049,2
3050,2
3051,2
3052,2
3053,2
3054,2
3055,2
3056,2
