production_companies_id,name
2303,Villealfa Filmproduction Oy
2396,Finnish Film Foundation
14,Miramax Films
59,A Band Apart
33,Universal Pictures
1644,Largo Entertainment
4248,JVC Entertainment Networks
1,Lucasfilm
306,Twentieth Century Fox Film Corporation
3,Pixar Animation Studios
4,Paramount Pictures
27,DreamWorks SKG
2721,Jinks/Cohen Company
6,RKO Radio Pictures
11447,Mercury Productions
8,Fine Line Features
76,Zentropa Entertainments
119,Danmarks Radio (DR)
157,SVT Drama
201,Arte
321,Memfis Film
591,France 3 Cinéma
2996,Angel films
4524,TV 1000
5358,Canal+
5755,Constantin Film Produktion
5975,Yleisradio (YLE)
6916,Arte France Cinéma
7025,Westdeutscher Rundfunk (WDR)
7330,Blind Spot Pictures Oy
8659,Vrijzinnig Protestantse Radio Omroep (VPRO)
9349,Film4
11239,Liberator Productions
14937,Icelandic Film
17513,Film i Väst
30268,Pain Unlimited GmbH Filmproduktion
53667,Trust Film Svenska
53668,Cinematograph A/S
53669,What Else? B.V
53670,Filmek A/S
53671,Lantia Cinema & Audiovisivi
47,Constantin Film
248,Impact Pictures
2268,Isle of Man Film
2452,UK Film Council
5,Columbia Pictures
9,Gaumont
12372,Universum Film (UFA)
49,El Deseo
77,Milestone Productions
13723,Bruce Brown Films
2,Walt Disney Pictures
130,Jerry Bruckheimer Films
39121,Super Cool ManChu
1522,Neal Street Productions
14440,Red Wagon Entertainment
19934,Motion Picture KAPPA Produktionsgesellschaft
15,Lama Films
16,United King Films
163,Revolution Films
60,United Artists
26663,Zoetrope Studios
11671,Studio 4°C
171,Malpaso Productions
6194,Warner Bros.
18,Gracie Films
10039,Anonymous Content
10059,This Is That Productions
10146,Focus Features
5084,Altavista Films
11230,Zeta Film
19936,Second Mate Productions
12,New Line Cinema
429,DC Comics
6363,BenderSpink
385,Stanley Kubrick Productions
8411,Metro-Goldwyn-Mayer (MGM)
507,Atlas Entertainment
17031,Classico
357,Vía Digital
10565,Good Machine
11736,El Deseo S.A.
11737,Antena 3 Televisión
23,Imagine Entertainment
24,Mikona Productions GmbH & Co. KG
97,Castle Rock Entertainment
89,Augustus Film
91,Lama Productions
93,Lumer Films
95,Hazazah Film
315,Filmstiftung Nordrhein-Westfalen
703,Razor Film Produktion GmbH
850,Eurimages
4508,Nederlands Fonds voor de Film
7307,Medienboard Berlin-Brandenburg
10214,Embassy International Pictures
84,Tree Line Films
85,Konrad Pictures
86,Catfish Productions
711,Fox 2000 Pictures
6402,Mars Media Beteiligungs
126,Lakeshore Entertainment
1171,Epsilon Motion Pictures
16311,Albert S. Ruddy Productions
288,BBC Films
686,Tiger Aspect Productions
694,StudioCanal
718,Arts Council of England
10163,Working Title Films
10462,WT2 Productions
924,The Turman-Morrissey Company
11308,Savoy Pictures
44,Cruise/Wagner Productions
56,Amblin Entertainment
8601,Tim Burton Productions
98,Detour Film Production
491,Summit Entertainment
506,Newmarket Capital Group
598,Team Todd
34446,I Remember Productions
5798,Shaw Brothers
7965,The Ladd Company
724,Beijing New Picture Film Co. Ltd.
2269,China Film Co-Production Corporation
11509,Warner Independent Pictures (WIP)
29,Topcraft
675,Forward Pass
52844,Motion Picture ETA Produktionsgesellschaft
52845,Foqus Arte Digital
52846,Metropolis Films
22376,Plunge Pictures LLC
74,MOOVIE - the art of entertainment GmbH
75,Medienfonds German Film Productions GmbH & Co. KG
137,Great American Films Limited Partnership
12360,Vestron Pictures
30,Eddie Murphy Productions
85869,Ramón Acín
9195,Touchstone Pictures
11533,Valhalla Motion Pictures
10288,Don Simpson/Jerry Bruckheimer Films
558,Lisberger/Kushner
1645,Scott Free Productions
21904,Mill Film
21905,C & L
21906,Dawliz
82,Renn Productions
83,France 2 Cinéma
146,Handmade Films Ltd.
1382,PolyGram Filmed Entertainment
13419,SKA Films
21920,The Steve Tisch Company
441,Columbia Pictures Corporation
46059,Italo/Judeo Productions
46060,Bill/Phillips
1972,X-Filme Creative Pool
20448,U-Drive Productions
840,Lawrence Gordon Productions
1302,Davis Entertainment
1885,Silver Pictures
5263,Amercent Films
5264,American Entertainment Partners L.P.
3287,Screen Gems
1610,CED Productions
183,Le Studio Canal+
38,Zespół Filmowy TOR
1245,Télévision Suisse-Romande
139,LJ Film
254,Pandora Filmproduktion
685,Cineclick Asia
11554,Korea Pictures
11555,Cinesoul
11556,Mirae Asset Capital
11557,Muhan Investment
10282,Silver Screen Partners IV
37,Gramercy Pictures
7,DreamWorks
79,Village Roadshow Pictures
80,The Zanuck Company
45778,Plan B Entertainment
55512,Theobald Film Productions
11,WingNut Films
5237,The Saul Zaentz Company
286,Fantasy Films
1587,P.P. Film Polski
10342,Studio Ghibli
12516,Nibariki
20192,Nippon Television Network (NTV)
10932,The Criterion Collection
14563,Maysles Films
2401,Drew Associates
2402,Time
2092,Mike Zoss Productions
5870,Studio Canal
39,Docurama
11672,Nimbus Film Productions
6780,Televisión Española TVE
9335,Canal+ España
185,Pandora Cinema
2214,Flower Films
3334,Adam Fields Productions
1246,River Road Entertainment
3997,Alberta Film Entertainment
45,Road Movies Filmproduktion GmbH
6116,Argos Films
123,Trust Film
125,Danish Film Institute
58,Sony Pictures Classics
2798,Columbia Pictures Film Production Asia
12205,EDKO Film
20289,Asia Union Film & Entertainment Ltd.
20290,United China Vision
20291,Zoom Hunt International Productions Company Ltd.
53,Les Films du Carrosse
10897,Sédif Productions
78,Hotshot Films
528,Bandai Visual Company
882,Toho Company
3363,Mainichi Broadcasting System (MBS)
6999,Kodansha
9155,Tokyo Movie Shinsha (TMS)
10919,TMS Entertainment
10920,Akira Committee Company Ltd.
10921,Sumitomo Corporation
70,American Zoetrope
923,Legendary Pictures
9993,DC Entertainment
9996,Syncopy
223,Les Films du Losange
235,Nordisk Film
698,Scottish Screen
758,TV2 Danmark
980,The Glasgow Film Fund
7594,Touchstone
99,Olga-Film GmbH (München)
11793,Lumière
129,Section Eight
172,NPV Entertainment
2596,Jerry Weintraub Productions
24939,WV Films II
12202,WV Films III
11355,Jurow-Shepherd
7961,Gaumont International
28766,Production Marcel Dassault
763,Intermedia Films
1178,Pathé Pictures International
19116,IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG
284,DNA Films
10889,British Film Council
3166,Walt Disney Productions
35,Lions Gate Films
2061,Twisted Pictures
23019,Evolution Entertainment
55405,Saw Productions Inc.
559,TriStar Pictures
2231,Trilogy Entertainment Group
932,Mirage Enterprises
11581,Misher Films
20194,Motion Picture JOTA Produktions
766,Blue Tulip Productions
26265,Ronald Shusett/Gary Goldman
76068,Digital Image Associates
14315,Section Eight Productions
70319,Sunset Gower Studios
88,Hawk Films
308,The Weinstein Company
816,FilmEngine
826,Capitol Films
1204,Ascendant Pictures
2116,VIP Medienfonds 4
21962,The Complex Studio
7405,Dimension Films
10807,Troublemaker Studios
53009,Miramax
11005,AR Films
11006,Aldamisa Entertainment
13241,Demarest Films
29076,Solipsist Film
41658,Residaco
4606,Zweites Deutsches Fernsehen (ZDF)
7110,Les Films Ariane
20091,RAI Radiotelevisione Italiana
45693,Cristaldifilm
592,Claudie Ossard Productions
4411,MMC Independent
12000,Tapioca Films
23446,Sofica Sofinergie 5
25020,Victoires Productions
27897,Filmstiftung Nordrhein-Westfalen
30994,Union Générale Cinématographique (UGC)
4564,Icon Entertainment International
11353,B.H. Finance C.V.
120,Scorsese Productions
141,Véra Films
144,Fono Roma
534,Filmsonor
11788,Compagnie Industrielle et Commerciale Cinématographique (CICC)
564,Industrial Development Corporation of South Africa
1205,Endgame Entertainment
2760,Miracle Pictures
7495,Sixth Sense Productions
11912,Mikado Film
19834,Inside Track Films
402,Luna Filmproduktion
1053,Got Films
64651,Saw 2 Productions
10869,Filmverlag der Autoren
